id|schedule|cats|family_id|n|metrics|units|ptypes|yrs|title
090ca8d9-c9b0-4ff0-b520-2672544d4565|nightly|sonstiges||14|14|city|year||Schüler/-innen mit Migrationshintergrund an allgemeinbildenden Schul
5fe9d907-6363-488d-b865-9f51ee15c025|nightly|sonstiges||14|14|city|year||Online-Wahlen in Leipzig: Kennzahlen (Zeitreihe)
671841eb-4a28-4a05-8584-451c1d0441d3|nightly|bildung-kultur-und-sport;internationale-themen||11|11|city|year||Anteil von Kindern mit Migrationshintergrund in Kindertageseinrichtu
a1f1c2f0-749e-4c78-959c-25c5f9745c58|nightly|sonstiges||11|11|city|year||Kinderkrippen- und Kindergartenplätze in Kindertageseinrichtungen
abeec883-acf4-4286-8bd9-1e8290f3541d|nightly|sonstiges||11|11|city|year||Betreuungsquote von Kindern unter 7 Jahren in Kindertageseinrichtung
325dd2ee-effb-44b9-aa93-c3c98c3b7c6a|nightly|sonstiges||11|11|city|year||Vergabearten
b4a230a8-a719-4698-82c1-7c17be66d8c8|nightly|sonstiges||11|11|city|year||Relative Bevölkerungsentwicklung - Kinder und Jugendliche
8797b725-ad41-4632-9588-4652a8fbf876|nightly|sonstiges||10|10|city|year||Wohnstandortpräferenzen nach dem Umzug - Kommunale Bürgerumfrage
16a3c866-73d3-4525-9af3-399c3840440a|nightly|sonstiges||10|10|city|year||Bevölkerungsvorausschätzung und tatsächliche Einwohnerentwicklung
f2ea226a-6a00-4dd5-945d-094f3bfd92cc|nightly|sonstiges||9|9|city|year||Bestand ukrainischer Einwohnerinnen und Einwohner in Leipzig am 31.1
9594589e-6e34-48e4-9468-2688ed861f2b|nightly|sonstiges|leipziggiesst-jahresstatistik|9|9|city|year|2022-2022|LeipzigGiesst gegossene Liter Jahresstatistik 2022
96955248-a67f-46d7-b324-5f8111e464df|nightly|sonstiges||9|9|city|year||LWB-Bestandsmieten nach Baualtersklassen
10b3d24a-8a5b-4fda-9691-4059c8700bff|nightly|sonstiges||9|9|city|year||Arbeitssituation Corona-Pandemie nach Geschlecht und Altersgruppen
a18f1281-560d-4c56-8cf4-1dee1092269e|nightly|sonstiges|leipziggiesst-jahresstatistik|8|8|city|year|2025-2025|LeipzigGiesst gegossene Liter Jahresstatistik 2025
44543285-378f-40f2-aefc-50e0a27be2a0|nightly|sonstiges|leipziggiesst-jahresstatistik|8|8|city|year|2021-2021|LeipzigGiesst gegossene Liter Jahresstatistik 2021
99181505-7f92-4cb6-9340-d0f80aee99e7|nightly|sonstiges|leipziggiesst-jahresstatistik|8|8|city|year|2024-2024|LeipzigGiesst gegossene Liter Jahresstatistik 2024
6eb8d75d-3c6d-4d95-b50b-4636c3365fc4|nightly|sonstiges|leipziggiesst-jahresstatistik|8|8|city|year|2023-2023|LeipzigGiesst gegossene Liter Jahresstatistik 2023
fe3bbe2d-6118-40bc-8817-9f8c03b2f168|nightly|bevoelkerung-und-gesellschaft||7|7|city|year||Räumliche Bevölkerungsbewegung nach Haushaltstypen
