name,created,description,formats
Fahrplan der Fahrbibliothek für Schulen,2015-04-28 15:23:57.410773,"Fahrplan und Haltestellen der Fahrbibliothek an Leipziger Schulen, Januar bis August 2023",CSV
Geo-Koordinaten der Bibliotheken,2015-03-02 15:29:05.889745,"geografische Lage der Städtischen Bibliotheken, Koordinaten nach UTM33 und ETRS89",CSV
Kontaktdaten und Öffnungszeiten der Bibliotheken,2015-03-02 13:58:17.228386,"Tabelle der Städtischen Bibliotheken mit Adresse, Telefon, E-Mail, Website, Öffnungszeiten",CSV
Ankünfte und Übernachtungen (Quartalszahlen),2023-09-26 12:20:00.126388,"Daten zu den Ankünften, Übernachtungen und der Aufenthaltsdauer in den Beherbergungsbetrieben.","CSV, JSON"
Ankünfte und Übernachtungen (Jahreszahlen),2023-09-26 12:19:53.057291,"Daten zu den Ankünften, Übernachtungen und der Aufenthaltsdauer in den Beherbergungsbetrieben.","CSV, JSON"
Fahrplan der Fahrbibliothek,2015-04-28 15:13:08.936628,"Fahrplan der Fahrbibliothek, Haltestellen und Standzeiten für A-Woche und B-Woche, 1. Halbjahr 2026",CSV
A-Wochen und B-Wochen für Fahrplan Fahrbibliothek,2015-04-28 15:18:19.996176,"Wochenplanung A-Wochen und B-Wochen für den Fahrplan der Fahrbibliothek, 1. Halbjahr 2026",CSV
"Park+Ride Anlagen Standorte, Stadt Leipzig",2024-02-08 09:46:23.219687,Die Standorte der P+R Anlagen in und um Leipzig mit statischen Informationen.,"CSV, GEOJSON, GPKG, WFS"
"Historische Belegung (letzten 30 Tage) Park+Ride Anlagen, Stadt Leipzig",2024-02-08 09:46:22.698234,Zeitreihe zu den Park+Ride Anlagen mit Belegungsinformationen der letzten 30 Tage alle 15 Minuten in der Stadt Leipzig.,"CSV, GEOJSON, GPKG, WFS"
"Aktuelle Belegung Park+Ride Anlagen, Stadt Leipzig",2024-06-06 09:48:09.561063,Die Daten enthalten die aktuellen Belegungsinformationen der Park+Ride Anlagen in Leipzig mit Echtzeitinformationen. Die Aktualisierung erfolgt alle 5 Minuten.,"CSV, GEOJSON, GPKG, WFS"
"Bodenrichtwerte 2023, Stadt Leipzig",2023-10-27 10:49:29.704196,"Der Gutachterausschuss in der Stadt Leipzig hat am 02.03.2023 die zonalen Bodenrichtwerte zum Stichtag 01.01.2023 für die Stadt Leipzig beschlossen. Bodenrichtwerte sind durchschnittliche Lagewerte für den Boden unter Berücksichtigung der unterschiedlichen Entwicklungszustände angegeben pro Quadratmeter Grundstücksfläche. Bodenrichtwertzonen umfassen Gebiete, die nach Art und Maß der Nutzung weitgehend übereinstimmen. Die wertbeeinflussenden Merkmale des Bodenrichtwertgrundstücks sind dargestellt. Die Ermittlung der Bodenrichtwerte erfolgt gemäß der Regelungen der ImmoWertV. Dieser Datensatz enthält die Polygone der Bodenrichtwerte für das Gebiet der Stadt Leipzig mit den Ebenen ""Bodenrichtwertgrundstück"", ""Bodenrichtwertzone"",""Lagequalität"", ""Entwicklungsmaßnahme"" und ""Sanierungsgebiet"".","CSV, GEOJSON, PDF, WMS"
"Bodenrichtwerte 2024, Stadt Leipzig",2024-06-06 07:55:49.131032,"Der Gutachterausschuss in der Stadt Leipzig hat am 29.02.2024 die zonalen Bodenrichtwerte zum Stichtag 01.01.2024 für die Stadt Leipzig beschlossen. Bodenrichtwerte sind durchschnittliche Lagewerte für den Boden unter Berücksichtigung der unterschiedlichen Entwicklungszustände angegeben pro Quadratmeter Grundstücksfläche. Bodenrichtwertzonen umfassen Gebiete, die nach Art und Maß der Nutzung weitgehend übereinstimmen. Die wertbeeinflussenden Merkmale des Bodenrichtwertgrundstücks sind dargestellt. Die Ermittlung der Bodenrichtwerte erfolgt gemäß der Regelungen der ImmoWertV. Dieser Datensatz enthält die Polygone der Bodenrichtwerte für das Gebiet der Stadt Leipzig mit den Ebenen ""Bodenrichtwertgrundstück"", ""Bodenrichtwertzone"",""Lagequalität"", ""Entwicklungsmaßnahme"" und ""Sanierungsgebiet"".","CSV, GEOJSON, WMS"
"Bodenrichtwerte 2022, Stadt Leipzig",2023-10-27 10:49:30.199045,"Der Gutachterausschuss in der Stadt Leipzig hat am 02.03.2022 die zonalen Bodenrichtwerte zum Stichtag 01.01.2022 für die Stadt Leipzig beschlossen. Bodenrichtwerte sind durchschnittliche Lagewerte für den Boden unter Berücksichtigung der unterschiedlichen Entwicklungszustände angegeben pro Quadratmeter Grundstücksfläche. Bodenrichtwertzonen umfassen Gebiete, die nach Art und Maß der Nutzung weitgehend übereinstimmen. Die wertbeeinflussenden Merkmale des Bodenrichtwertgrundstücks sind dargestellt. Die Ermittlung der Bodenrichtwerte erfolgt gemäß der Regelungen der ImmoWertV. Dieser Datensatz enthält die Polygone der Bodenrichtwerte für das Gebiet der Stadt Leipzig mit den Ebenen ""Bodenrichtwertgrundstück"", ""Bodenrichtwertzone"",""Lagequalität"", ""Entwicklungsmaßnahme"" und ""Sanierungsgebiet"".","CSV, GEOJSON, WMS"
Arbeitslose (Quartalszahlen),2023-09-26 12:19:59.269536,Daten zu den Arbeitslosen in der Stadt Leipzig gegliedert u.a. nach Rechstkreis und Altersgruppen.,"CSV, JSON"
