name,created,description,formats
Repräsentative Wahlstatistik Bundestagswahlen - Zweitstimmen (seit 2002),2026-02-04 07:17:28.712788,"Ergebnisse der repräsentativen Wahlstatistik für die Bundestagswahlen in Leipzig seit 2002: Zweitstimmen nach Geschlecht für verschiedene Altersgruppen. Die repräsentative Wahlstatistik wurde in der Bundesrepublik Deutschland seit 1953 bei allen Bundestagswahlen mit Ausnahme der Wahljahre 1994 und 1998, und bei den meisten Landtags- und Kommunalwahlen erhoben. Für die repräsentative Wahlstatistik werden einige der Wahlbezirke als repräsentative Wahlbezirke ausgewählt. In diesen Wahlbezirken erhalten die Wählerinnen und Wähler Stimmzettel, auf denen ihr Geschlecht und ihre Altersgruppe gekennzeichnet ist. Dies ermöglicht eine Schätzung der Wahlbeteiligung und der Zweitstimmenergebnisse nach Alter und Geschlecht. Das Wahlgeheimnis ist trotz der gekennzeichneten Stimmzettel gewährleistet.
      
'Partei_ID_StatAmtLE' beinhaltet eine vom Amt für Wahlen und Statistik festgelegte wahlübergreifende Partei-ID. Das Parteienverzeichnis kann unterfolgender URL aufgerufen werden: https://opendata.leipzig.de/dataset/parteienverzeichnis-statamtleipzig. 'Parteiname_harmonisiert_vx_y' beinhaltet die zur Partei-ID zugehörige Kurzbezeichnung der Partei in Version x.y.

Die Geschlechtsangabe 'männlich' beinhaltet seit Wahlen ab 2019 auch Wählende mit dem Geschlechtseinträgen 'divers' und 'ohne Angabe'.",CSV
Oberbürgermeisterwahl 2020 Repräsentative Nachwahlbefragung,2026-02-04 07:43:56.454422,"Repräsentative Nachwahlbefragung zur Oberbürgermeisterwahl in Leipzig 2020 zur Ermittlung des Abstimmungsverhaltens nach Alter und Geschlecht. Da zur Oberbürgermeisterwahl 2020 keine repräsentative Wahlstatistik erhoben wurde, gab es beim 1. Wahlgang eine repräsentative Nachwahlbefragung.  In 15 repräsentativen Wahlbezirken wurden Wählerinnen und Wähler nach der Stimmabgabe um das Ausfüllen eines kurzen Fragebogens gebeten. Die Teilnahme war freiwillig und anonym. In dem kurzen Fragebogen wurde nach der aktuellen Wahlentscheidung, dem Wahlverhalten sowie nach Alter, Geschlecht, Bildungsabschluss und einigen weiteren Angaben gefragt.",CSV
Repräsentative Wahlstatistik Europawahlen - Wahlbeteiligung (seit 2009),2026-02-04 07:17:30.490276,"Ergebnisse der repräsentativen Wahlstatistik (RWS) für die Europawahlen in Leipzig seit 2009: Wahlbeteiligung nach Geschlecht für verschiedene Altersgruppen. Die repräsentative Wahlstatistik wurde in der Bundesrepublik Deutschland seit 1953 bei allen Bundestagswahlen mit Ausnahme der Wahljahre 1994 und 1998, und bei den meisten Landtags- und Kommunalwahlen erhoben. Für die repräsentative Wahlstatistik werden einige der Wahlbezirke als repräsentative Wahlbezirke ausgewählt. In diesen Wahlbezirken erhalten die Wählerinnen und Wähler Stimmzettel, auf denen ihr Geschlecht und ihre Altersgruppe gekennzeichnet ist. Dies ermöglicht eine Schätzung der Wahlbeteiligung und der Zweitstimmenergebnisse nach Alter und Geschlecht. Das Wahlgeheimnis ist trotz der gekennzeichneten Stimmzettel gewährleistet.
      
Die Spalte 'Wahlbeteiligung' gibt die Wahlbeteiligung in der jeweiligen Gruppe in den repräsenativen Wahlbezirken an. Da die Wahlbeteiligung für den Briefwähler nicht ermittelt werden kann, wird für die Wahlbeteiligung angenommen, dass alle wähler, die Briefwahlunterlagen beantragt haben, auch tatsächlich abgestimmt habe. Erfahrungsgemäß beträgt die Wahlbeteiligung unter Wählern, die Briefwahlunterlagen beantragt haben, etwa 96 Prozent.

Für die skalierte Wahlbeteiligung in der Spalte 'Wahlbeteiligung_skaliert' wird die 'Wahlbeteiligung' um einen Faktor korrigiert, um die Wahlbeteiligung der repräsentativen Wahlstatistik an die Wahlbeteiligung in Leipzig anzugleichen (Korrektur-Faktor: 'Wahlbeteiligung Leipzig'/'Wahlbeteiligung RWS'). Daher entspricht 'Wahlbeteiligung_skaliert' für alle Wähler der RWS der tatsächlichen Wahlbeteiligung in Leipzig.

Die Geschlechtsangabe 'männlich' beinhaltet seit Wahlen ab 2019 auch Wählende mit dem Geschlechtseinträgen 'divers' und 'ohne Angabe'.",CSV
Repräsentative Wahlstatistik Europawahlen - Stimmen (seit 1994),2026-02-04 07:17:30.748528,"Ergebnisse der repräsentativen Wahlstatistik für die Europawahlen in Leipzig seit 1994: Stimmen nach Geschlecht für verschiedene Altersgruppen. Die repräsentative Wahlstatistik wurde in der Bundesrepublik Deutschland seit 1953 bei allen Bundestagswahlen mit Ausnahme der Wahljahre 1994 und 1998, und bei den meisten Landtags- und Kommunalwahlen erhoben. Für die repräsentative Wahlstatistik werden einige der Wahlbezirke als repräsentative Wahlbezirke ausgewählt. In diesen Wahlbezirken erhalten die Wählerinnen und Wähler Stimmzettel, auf denen ihr Geschlecht und ihre Altersgruppe gekennzeichnet ist. Dies ermöglicht eine Schätzung der Wahlbeteiligung und der Zweitstimmenergebnisse nach Alter und Geschlecht. Das Wahlgeheimnis ist trotz der gekennzeichneten Stimmzettel gewährleistet.
      
'Partei_ID_StatAmtLE' beinhaltet eine vom Amt für Wahlen und Statistik festgelegte wahlübergreifende Partei-ID. Das Parteienverzeichnis kann unterfolgender URL aufgerufen werden: https://opendata.leipzig.de/dataset/parteienverzeichnis-statamtleipzig. 'Parteiname_harmonisiert_vx_y' beinhaltet die zur Partei-ID zugehörige Kurzbezeichnung der Partei in Version x.y.

Die Geschlechtsangabe 'männlich' beinhaltet seit Wahlen ab 2019 auch Wählende mit dem Geschlechtseinträgen 'divers' und 'ohne Angabe'.",CSV
Repräsentative Wahlstatistik Oberbürgermeisterwahlen - Wahlbeteiligung (seit 2005),2026-02-04 07:17:29.683923,"Ergebnisse der repräsentativen Wahlstatistik (RWS) für die Oberbürgermeisterwahlen in Leipzig seit 2005: Wahlbeteiligung nach Geschlecht für verschiedene Altersgruppen. Die repräsentative Wahlstatistik wurde in der Bundesrepublik Deutschland seit 1953 bei allen Bundestagswahlen mit Ausnahme der Wahljahre 1994 und 1998, und bei den meisten Landtags- und Kommunalwahlen erhoben. Für die repräsentative Wahlstatistik werden einige der Wahlbezirke als repräsentative Wahlbezirke ausgewählt. In diesen Wahlbezirken erhalten die Wählerinnen und Wähler Stimmzettel, auf denen ihr Geschlecht und ihre Altersgruppe gekennzeichnet ist. Dies ermöglicht eine Schätzung der Wahlbeteiligung und der Zweitstimmenergebnisse nach Alter und Geschlecht. Das Wahlgeheimnis ist trotz der gekennzeichneten Stimmzettel gewährleistet.
      
Die Spalte 'Wahlbeteiligung' gibt die Wahlbeteiligung in der jeweiligen Gruppe in den repräsenativen Wahlbezirken an. Da die Wahlbeteiligung für den Briefwähler nicht ermittelt werden kann, wird für die Wahlbeteiligung angenommen, dass alle wähler, die Briefwahlunterlagen beantragt haben, auch tatsächlich abgestimmt habe. Erfahrungsgemäß beträgt die Wahlbeteiligung unter Wählern, die Briefwahlunterlagen beantragt haben, etwa 96 Prozent.

Für die skalierte Wahlbeteiligung in der Spalte 'Wahlbeteiligung_skaliert' wird die 'Wahlbeteiligung' um einen Faktor korrigiert, um die Wahlbeteiligung der repräsentativen Wahlstatistik an die Wahlbeteiligung in Leipzig anzugleichen (Korrektur-Faktor: 'Wahlbeteiligung Leipzig'/'Wahlbeteiligung RWS'). Daher entspricht 'Wahlbeteiligung_skaliert' für alle Wähler der RWS der tatsächlichen Wahlbeteiligung in Leipzig.

Die Geschlechtsangabe 'männlich' beinhaltet seit Wahlen ab 2019 auch Wählende mit dem Geschlechtseinträgen 'divers' und 'ohne Angabe'.",CSV
Repräsentative Wahlstatistik Oberbürgermeisterwahlen - Stimmen (seit 1998),2026-02-04 07:17:30.128649,"Ergebnisse der repräsentativen Wahlstatistik für die Oberbürgermeisterwahlen in Leipzig seit 1998: Stimmen nach Geschlecht für verschiedene Altersgruppen. Die repräsentative Wahlstatistik wurde in der Bundesrepublik Deutschland seit 1953 bei allen Bundestagswahlen mit Ausnahme der Wahljahre 1994 und 1998, und bei den meisten Landtags- und Kommunalwahlen erhoben. Für die repräsentative Wahlstatistik werden einige der Wahlbezirke als repräsentative Wahlbezirke ausgewählt. In diesen Wahlbezirken erhalten die Wählerinnen und Wähler Stimmzettel, auf denen ihr Geschlecht und ihre Altersgruppe gekennzeichnet ist. Dies ermöglicht eine Schätzung der Wahlbeteiligung und der Zweitstimmenergebnisse nach Alter und Geschlecht. Das Wahlgeheimnis ist trotz der gekennzeichneten Stimmzettel gewährleistet.
      
'Partei_ID_StatAmtLE' beinhaltet eine vom Amt für Wahlen und Statistik festgelegte wahlübergreifende Partei-ID. Das Parteienverzeichnis kann unterfolgender URL aufgerufen werden: https://opendata.leipzig.de/dataset/parteienverzeichnis-statamtleipzig. 'Parteiname_harmonisiert_vx_y' beinhaltet die zur Partei-ID zugehörige Kurzbezeichnung der Partei in Version x.y.

Die Geschlechtsangabe 'männlich' beinhaltet seit Wahlen ab 2019 auch Wählende mit dem Geschlechtseinträgen 'divers' und 'ohne Angabe'.",CSV
Repräsentative Wahlstatistik Landtagswahlen - Wahlbeteiligung (seit 2004),2026-02-04 07:17:28.954668,"Ergebnisse der repräsentativen Wahlstatistik (RWS) für die Landtagswahlen in Leipzig seit 2004: Wahlbeteiligung nach Geschlecht für verschiedene Altersgruppen. Die repräsentative Wahlstatistik wurde in der Bundesrepublik Deutschland seit 1953 bei allen Bundestagswahlen mit Ausnahme der Wahljahre 1994 und 1998, und bei den meisten Landtags- und Kommunalwahlen erhoben. Für die repräsentative Wahlstatistik werden einige der Wahlbezirke als repräsentative Wahlbezirke ausgewählt. In diesen Wahlbezirken erhalten die Wählerinnen und Wähler Stimmzettel, auf denen ihr Geschlecht und ihre Altersgruppe gekennzeichnet ist. Dies ermöglicht eine Schätzung der Wahlbeteiligung und der Zweitstimmenergebnisse nach Alter und Geschlecht. Das Wahlgeheimnis ist trotz der gekennzeichneten Stimmzettel gewährleistet.
      
Die Spalte 'Wahlbeteiligung' gibt die Wahlbeteiligung in der jeweiligen Gruppe in den repräsenativen Wahlbezirken an. Da die Wahlbeteiligung für den Briefwähler nicht ermittelt werden kann, wird für die Wahlbeteiligung angenommen, dass alle wähler, die Briefwahlunterlagen beantragt haben, auch tatsächlich abgestimmt habe. Erfahrungsgemäß beträgt die Wahlbeteiligung unter Wählern, die Briefwahlunterlagen beantragt haben, etwa 96 Prozent.

Für die skalierte Wahlbeteiligung in der Spalte 'Wahlbeteiligung_skaliert' wird die 'Wahlbeteiligung' um einen Faktor korrigiert, um die Wahlbeteiligung der repräsentativen Wahlstatistik an die Wahlbeteiligung in Leipzig anzugleichen (Korrektur-Faktor: 'Wahlbeteiligung Leipzig'/'Wahlbeteiligung RWS'). Daher entspricht 'Wahlbeteiligung_skaliert' für alle Wähler der RWS der tatsächlichen Wahlbeteiligung in Leipzig.

Die Geschlechtsangabe 'männlich' beinhaltet seit Wahlen ab 2019 auch Wählende mit dem Geschlechtseinträgen 'divers' und 'ohne Angabe'.",CSV
Repräsentative Wahlstatistik Landtagswahlen - Zweitstimmen (seit 1994),2026-02-04 07:17:29.204744,"Ergebnisse der repräsentativen Wahlstatistik für die Landtagswahlen in Leipzig seit 1994: Zweitstimmen nach Geschlecht für verschiedene Altersgruppen. Die repräsentative Wahlstatistik wurde in der Bundesrepublik Deutschland seit 1953 bei allen Bundestagswahlen mit Ausnahme der Wahljahre 1994 und 1998, und bei den meisten Landtags- und Kommunalwahlen erhoben. Für die repräsentative Wahlstatistik werden einige der Wahlbezirke als repräsentative Wahlbezirke ausgewählt. In diesen Wahlbezirken erhalten die Wählerinnen und Wähler Stimmzettel, auf denen ihr Geschlecht und ihre Altersgruppe gekennzeichnet ist. Dies ermöglicht eine Schätzung der Wahlbeteiligung und der Zweitstimmenergebnisse nach Alter und Geschlecht. Das Wahlgeheimnis ist trotz der gekennzeichneten Stimmzettel gewährleistet.
      
'Partei_ID_StatAmtLE' beinhaltet eine vom Amt für Wahlen und Statistik festgelegte wahlübergreifende Partei-ID. Das Parteienverzeichnis kann unterfolgender URL aufgerufen werden: https://opendata.leipzig.de/dataset/parteienverzeichnis-statamtleipzig. 'Parteiname_harmonisiert_vx_y' beinhaltet die zur Partei-ID zugehörige Kurzbezeichnung der Partei in Version x.y.

Die Geschlechtsangabe 'männlich' beinhaltet seit Wahlen ab 2019 auch Wählende mit dem Geschlechtseinträgen 'divers' und 'ohne Angabe'.",CSV
Repräsentative Wahlstatistik Bundestagswahlen - Wahlbeteiligung (seit 2002),2026-02-04 07:17:28.478943,"Ergebnisse der repräsentativen Wahlstatistik (RWS) für die Bundestagswahlen in Leipzig seit 2002: Wahlbeteiligung nach Geschlecht für verschiedene Altersgruppen. Die repräsentative Wahlstatistik wurde in der Bundesrepublik Deutschland seit 1953 bei allen Bundestagswahlen mit Ausnahme der Wahljahre 1994 und 1998, und bei den meisten Landtags- und Kommunalwahlen erhoben. Für die repräsentative Wahlstatistik werden einige der Wahlbezirke als repräsentative Wahlbezirke ausgewählt. In diesen Wahlbezirken erhalten die Wählerinnen und Wähler Stimmzettel, auf denen ihr Geschlecht und ihre Altersgruppe gekennzeichnet ist. Dies ermöglicht eine Schätzung der Wahlbeteiligung und der Zweitstimmenergebnisse nach Alter und Geschlecht. Das Wahlgeheimnis ist trotz der gekennzeichneten Stimmzettel gewährleistet.
      
Die Spalte 'Wahlbeteiligung' gibt die Wahlbeteiligung in der jeweiligen Gruppe in den repräsenativen Wahlbezirken an. Da die Wahlbeteiligung für den Briefwähler nicht ermittelt werden kann, wird für die Wahlbeteiligung angenommen, dass alle wähler, die Briefwahlunterlagen beantragt haben, auch tatsächlich abgestimmt habe. Erfahrungsgemäß beträgt die Wahlbeteiligung unter Wählern, die Briefwahlunterlagen beantragt haben, etwa 96 Prozent.

Für die skalierte Wahlbeteiligung in der Spalte 'Wahlbeteiligung_skaliert' wird die 'Wahlbeteiligung' um einen Faktor korrigiert, um die Wahlbeteiligung der repräsentativen Wahlstatistik an die Wahlbeteiligung in Leipzig anzugleichen (Korrektur-Faktor: 'Wahlbeteiligung Leipzig'/'Wahlbeteiligung RWS'). Daher entspricht 'Wahlbeteiligung_skaliert' für alle Wähler der RWS der tatsächlichen Wahlbeteiligung in Leipzig.

Die Geschlechtsangabe 'männlich' beinhaltet seit Wahlen ab 2019 auch Wählende mit dem Geschlechtseinträgen 'divers' und 'ohne Angabe'.",CSV
Flächennutzungsplan der Stadt Leipzig,2025-07-12 08:27:23.234657,Der Flächennutzungsplan (vorbereitender Bauleitplan) gibt den Rahmen für die städtebauliche Entwicklung für das gesamte Stadtgebiet für einen Zeitraum von ca. zehn bis fünfzehn Jahre vor. Der Flächennutzungsplan erhielt zuletzt nach einigen Änderungen seine Wirksamkeit am 24.07.2021 durch Neubekanntmachung des gesamten Planwerkes.," WMS, WMS"
"Öffentliche Toiletten, Stadt Leipzig",2024-04-11 12:08:39.964174,Die Standorte der öffentlichen Toiletten in der Stadt Leipzig. Die Daten werden vom Referent und Koordinator für öffentliche Sanitäranlagen der Stadt Leipzig erstellt.,CSV
"Luftbild 2024 (20 cm Bodenauflösung), Stadt Leipzig",2025-07-12 08:27:21.158267,Das Digitale TrueOrthophoto der Stadt Leipzig von 2024 in 20 cm Auflösung.,"WMS, WMTS"
Inklusiv unterrichtete Schüler/-innen nach Förderschwerpunkt (Jahreszahlen),2024-04-24 15:12:08.953154,Daten zu inklusiv unterrichteten Schüler/-innen nach Förderschwerpunkt,"CSV, JSON"
Berufsbildende Schulen (Jahreszahlen),2023-09-26 12:19:46.629725,"Daten zu Berufsschulen, Berufsbildenden Förderschulen, Beruflichen Gymnasien, Berufsfachschulen, Fachoberschulen und Fachschulen in Leipzig; zu jeder Schulart ist die Zahl der Schüler und Lehrer angegeben.","CSV, JSON"
Allgemeinbildende Schulen (Jahreszahlen),2023-09-26 12:19:46.183886,"Daten zu den Grundschulen, Oberschulen, Gymnasien, Förderschulen, Freien Waldorfschulen, Gemeinschaftsschulen, Schulen der besonderen Art und Schulen des zweiten Bildungsweges in Leipzig; zu jeder Schulart ist die Zahl der Einrichtungen, Klassen, Schüler und Lehrer angegeben.","CSV, JSON"
Wanderungen (Amtliche Daten) (Quartalszahlen),2023-09-26 12:19:57.635259,Daten zu den Zuzügen und Fortzügen von und nach der Stadt Leipzig nach Geschlecht und Staatsangehörigkeit.,"CSV, JSON"
Geborene und Gestorbene (Amtliche Daten) (Quartalszahlen),2023-09-26 12:19:57.126473,Daten zu den Geburten und Sterbefällen nach Geschlecht.,"CSV, JSON"
Wanderungen (Amtliche Daten) (Jahreszahlen),2023-09-26 12:19:38.830029,Daten zu den Zuzügen und Fortzügen von und nach der Stadt Leipzig nach Geschlecht und Staatsangehörigkeit.,"CSV, JSON"
Geborene und Gestorbene (Amtliche Daten) (Jahreszahlen),2023-09-26 12:19:38.125538,Daten zu den Geburten und Sterbefällen nach Geschlecht.,"CSV, JSON"
Vornamenstatistik 2025,2026-01-09 10:22:29.209744,,CSV
Liegenschaften,2026-01-08 10:19:47.530172,Liegenschaftscontrolling: Relevante und aktuelle Kennzahlen aus dem Liegenschaftsmanagement der Stadt Leipzig.,JSON
LeipzigGiesst gegossene Liter Jahresstatistik 2025,2026-01-05 20:54:45.551366,"Gegossene Liter pro Straßenbaum, wie sie durch die Nutzer in app.LeipzigGiesst.de eingetragen wurden, aufsummiert im Zeitraum von 1. März 2025 bis 30. September 2025. Es werden die Daten des Baumkatasters für die Identifikation des jeweiligen Baums verwendet (aber auch Baum-Daten von OpenStreetMap.org)",CSV
Personalkennzahlen der Stadtverwaltung Leipzig,2025-02-12 12:34:10.130364,Übersicht über wichtige Personalkennzahlen der Stadtverwaltung Leipzig inklusive Übersicht über die Anzahl der Auszubildenden und Studierenden für die Jahre 2022 bis 2024,CSV
Anzahl betreute Kinder im Hort/Betreuungsangebot nach Schulen seit 2021/22,2026-01-02 14:34:54.507689,"Der Datensatz enthält die Anzahl an betreuten Kindern im Hort/Betreuungsangebot (BTA) je Grundschulen bzw. Förderschule, Schule der besonderen Art nach §63d, Gemeinschaftsschule, Waldorfschule und je Schuljahr in Leipzig seit dem Schuljahr 2021/22 mit Angabe von Schulart, Schulträger, Name der Schule,  sowie Schul_ID und Stala_ID.
Quelle: Amt für Jugend und Familie, Amt für Schule der Stadt Leipzig, monatliche Kita/BTA-Belegungsstatistik jeweils für Oktober
",CSV
Inklusion - Anzahl Schüler/-innen mit sonderpäd. Förderbedarf an allgemeinbild. Regelschulen seit 2021/22,2026-01-02 13:57:57.950755,"Der Datensatz enthält die Anzahl an Schüler/-innen mit sonderpädagogischem Förderbedarf je Schule und je Schuljahr an allgemeinbildenden Regelschulen in Leipzig seit dem Schuljahr 2021/22 mit Angabe von Schulart, Schulträger, Name der Schule,  sowie Schul_ID und Stala_ID (ohne Förderschulen).
Quelle: Schulstatistik des statistischen Landesamtes des Freistaates Sachsen; Stichtag 2024/25: 2. Oktober 2024",CSV
Schüler/-innen mit Migrationshintergrund an allgemeinbildenden Schulen in Leipzig seit 2021/22,2026-01-02 12:22:50.804217,"Der Datensatz enthält die Anzahl und den Anteil der Schüler/-innen mit Migrationshintergrund an allen Schüler/-innen je Schule und Schuljahr seit dem Schuljahr 2021/22 mit Angabe von Schulart, Schulträger, Name der Schule sowie Schülerzahl, Schul_ID und Stala_ID.
Quelle: Schulstatistik des statistischen Landesamtes des Freistaates Sachsen; Stichtag 2024/25: 2. Oktober 2024",CSV
Schülerzahlen allgemeinbildende Schulen Leipzig seit 2021/22,2026-01-02 11:32:33.687057,"Schülerzahlen an allgemeinbildenden Schulen in Leipzig je Schule und Schuljahr seit dem Schuljahr 2021/22 mit Angabe von Schulart, Schulträger, Name der Schule, sowie Schul_ID und Stala_ID.
Quelle: Schulstatistik des statistischen Landesamtes des Freistaates Sachsen; Stichtag 2024/25: 2. Oktober 2024",CSV
Übersicht allgemeinbildende Schulen in Leipzig mit Adressen Schuljahr 2024/25,2026-01-02 11:12:17.153850,"Der Datensatz enthält eine Übersicht über alle allgemeinbildenden Schulen in Leipzig im Schuljahr 2024/25 mit Angabe von Schulart, Schulträger, Name der Schule, Adresse, Ortsteil, Stadtbezirk, gemeinsamer Schulbezirk (Grundschulen, falls zutreffend) sowie Schul_ID und Stala_ID",CSV
Stadtbezirksbeiräte_Sitzungen,2025-12-18 14:18:05.130479,"Statistik zu den Sitzungen der Stadtbezirksbeiräte seit 2022.

Stammdaten: SBB, Datum, Jahr.
Teilnahme: Mitglieder (max. 11), Gäste, Verwaltungsmitarbeiter (TN_VW).
Inhalte: Anzahl Anträge, Anfragen, Vorlagen, SBBudget-Themen, Sonderthemen.
Formalia: Sitzungsart (Präsenz/Hybrid/Video), Dauer (Min.), Beschlussfähigkeit, Patenbesuch.","CSV, XLSX"
Stadtbezirksbudget,2024-12-17 09:52:42.503031,"Der Datensatz enthält die folgenden Informationen über aus dem Stadtbezirksbudget geförderte Projekte und Vorschläge von 2023 - 2025:

- Fortlaufende Nummer (Nr.)
- Beschlussnummer (Identifikationsnummer des Antrags);
- Antragsteller (natürliche Personen bzw. Personengesellschaften wurden anonymisiert);
- Kurzbeschreibung des Vorhabens;
- Antragsart (Projektantrag oder Vorschlag);
- Betrag in EUR (geförderte Summe durch den Stadtbezirksbeirat);
- Stadtbezirksbeirat, der die Maßnahme/Projekt gefördert hat;
- Ortsteil (Ortsteil, in dem das Projekt oder die Maßnahme umgesetzt wird);
- Straße und Hausnummer (Adresse des Orts, an dem das Projekt oder die Maßnahme umgesetzt wird);
- Koordinaten (Geokoordinaten des Orts, an dem das Projekt oder die Maßnahme umgesetzt wird. Referenzsystem ETRS_UTM_1989_Zone_33N)
- Jahr","CSV, XLSX"
"3D-Stadtmodell LoD2, Stadt Leipzig",2025-05-22 09:22:04.239933,"Die 3D-Gebäudedaten (LoD2, ohne Texturen) bilden die Grundlage für das 3D-Stadtmodell der Stadt Leipzig. Der Datensatz steht für das gesamte Stadtgebiet jeweils im CityGML-, Shapefile- und DXF-Format zur Verfügung. In den entsprechenden ZIP-Dateien befinden sich die 3D-Gebäudedaten aufgegliedert nach Ortsteilen (Kommunale Gebietsgliederung). Für die räumliche Zuordnung kann die Übersichtskarte (Übersicht_3D-Gebäude.pdf) genutzt werden. Des Weiteren ist eine Attributbeschreibung für die Formate CityGML und Shapefile hinterlegt. Weiterführende Informationen zu dem 3D-Stadtmodell Leipzig: https://www.leipzig.de/bauen-und-wohnen/bauen/geodaten-und-karten/3d-stadtmodell","CITYGML, DXF, SHP"
"Baumkataster, Stadt Leipzig",2023-10-27 10:49:29.232975,"Das Baumkataster enthält Baumstandorte im öffentlichen Straßenraum und Bäume auf Liegenschaften der Stadt Leipzig (Parks und Grünanlagen, Friedhöfe, Kleingartenvereine, Wald, an Gewässern, Sportanlagen, Schulen und Kindereinrichtungen). Die Bestandsdatenerfassung der Baumstandorte ist noch nicht abgeschlossen.","CSV, GEOJSON, GPKG, WFS"
"Kindertageseinrichtungen, Stadt Leipzig",2025-05-22 09:22:03.498255,"Datensatz über die Kindertageseinrichtungen für die Frühkindliche Bildung, Betreuung und Erziehung. Aussagen über Trägerschaft Kontaktinformationen (Leitung, Telefon, E-Mail) zu Einrichtung und Träger Aussagen über Kapazitäten je Einrichtung","CSV, GEOJSON, GPKG, WFS"
"Luftbild 2022 (20 cm Bodenauflösung), Stadt Leipzig",2025-05-22 09:22:03.151016,Das Luftbild der Stadt Leipzig aus dem Jahr 2022 mit einer Bodenauflösung von 20cm.,"WMS, WMTS"
"Digitale Stadtkarte 1:25.000, Stadt Leipzig",2023-09-29 17:31:30.671149,"Die Digitale Stadtkarte 1:25000 beinhaltet die Themen Straßen- und Schienennetz, die Gewässer, Siedlungsflächen, sowie siedlungsfreie Flächen und Beschriftungen, wie Straßennamen und Hausnummern. Sie bilden die Grundlage für den amtlichen Stadtplan der Stadt Leipzig. Die Standardausgabe erfolgt im Maßstab 1:21.000. Die Abgabe der Daten erfolgt vornehmlich in den Rasterformaten PDF (mit Schreibschutz), TIF (georeferenziert) und JPG.",WMS
"Digitale Stadtkarte 1:5.000, Stadt Leipzig",2023-10-27 11:14:48.092934,"Die Digitale Stadtkarte im Maßstab 1:5.000 dient als Kartengrundlage zur Erfassung zahlreicher Fachdaten. Sie beinhaltet Objekte der Deutschen Grundkarte, bestehend aus Gebäuden, Straßen, Straßennamen, Wege, Gewässer und Topographie. Die Abgabe der Daten ist in den Formaten DXF, PDF (mit Schreibschutz), TIF (georeferenziert), JPG oder als Shape-File möglich.",WMS
"Straßennetz, Stadt Leipzig",2023-10-27 10:49:28.601003,"Das Straßennetz der Stadt Leipzig. Der Datensatz beinhaltet die Straßennamen, Von- und Bis-Abschnitte, Stadtbezirke der Abschnitte, die Zugehörigkeit zum klassifizierten Netz (Bundes-, Staats-, Kreisstraße), die Straßenart (Ortsstraße, Feldweg usw.), die Erschließung (Haupt-, Neben-, Anliegernetz), den Baulastträger und die Länge in Meter. Die Daten werden direkt aus dem System abgerufen und sind daher stets aktuell.","CSV, GEOJSON, GPKG, WFS"
"Verkehrszeichen, Stadt Leipzig",2024-04-11 12:08:39.481681,Verkehrszeichen der Stadt Leipzig,"CSV, GEOJSON, WFS"
"Verkehrsraumeinschränkungen (Polygone), Stadt Leipzig",2024-04-10 12:36:32.854952,Daten der aktuellen Verkehrsraumeinschränkungen der Stadt Leipzig als Polygone.,"CSV, GEOJSON, WFS"
"Verkehrsraumeinschränkungen (Punkte), Stadt Leipzig",2024-04-11 12:08:38.648018,Daten der aktuellen Verkehrsraumeinschränkungen der Stadt Leipzig als Punktdatensatz.,"CSV, GEOJSON, WFS"
Horte,2025-05-22 09:21:59.362600,"Datensatz über die Kindertageseinrichtungen für die Hortbetreuung. Aussagen über Trägerschaft Kontaktinformationen (Leitung, Telefon, E-Mail) zu Einrichtung und Träger Aussagen über Kapazitäten je Einrichtung.","CSV, GEOJSON, GPKG, WFS"
Knotenpunkte Straßennetz,2023-10-27 10:49:28.295183,Die Knotenpunkte des Straßennetzes Leipzig. Es werden die Knotenpunkt-Nummern als Attribut ausgegeben.,"CSV, GEOJSON, GPKG, WFS"
Bruttoinlandsprodukt und Bruttowertschöpfung (Jahreszahlen),2023-09-26 12:19:51.265971,Daten zum Bruttoinlandsprodukt und zur Bruttowertschöpfung nach Wirtschaftszweigen.,"CSV, JSON"
Gäste nach Herkunftsländern (Jahreszahlen),2023-09-26 12:19:50.825335,Daten zu den Herkunftsländern der Gäste in den Beherbergungsbetrieben.,"CSV, JSON"
Wohnberechtigte Einwohner nach Alter (Jahreszahlen),2023-09-26 12:19:37.673741,Daten zur Altersstruktur der Leipziger Bevölkerung.,"CSV, JSON"
Leipziger Weihnachtsmarkt 2025 - Stände in 2D,2025-12-16 13:57:31.722053,Dieser Datensatz enthält Geo- und Sachdaten der Marktstände sowie der Hilfsflächen des Leipziger Weihnachtsmarktes 2025 in 2D. In den Sachdaten sind Händlerinformationen (wie z.B. das angebotene Sortiment) aufgeführt.,SHP
Messen und Ausstellungen (Jahreszahlen),2023-09-26 12:19:51.055067,"Daten zu den Besuchern und Ausstellern auf Messen, Ausstellungen und Kongressen.","CSV, JSON"
Baufertigstellungen (Jahreszahlen),2023-09-26 12:19:49.685413,"Daten zu den Baufertigstellungen mit Einteilung in Neubauten, Wohn- und Nicht-Wohngebäude.","CSV, JSON"
Eheschließungen und Ehescheidungen (Jahreszahlen),2023-09-26 12:19:38.597381,Daten zu Eheschließungen und -scheidungen.,"CSV, JSON"
Einwohner nach Alter (Jahreszahlen),2023-09-26 12:19:37.380909,Daten zur Altersstruktur der Leipziger Bevölkerung (5-Jahres-Altersgruppen).,"CSV, JSON"
